,player_name,position,club,nationality,age,current_price,percentage,difference
87,Eliezer Mayenda,Centre-Forward,Sunderland AFC,Spain,20,€12.00m  ,1100.0 %,+€11.00m
88,Declan Rice,Central Midfield,Arsenal FC,England,26,€120.00m  ,9.1 %,+€10.00m
89,Raphinha,Left Winger,FC Barcelona,Brazil,28,€90.00m  ,12.5 %,+€10.00m
90,Moisés Caicedo,Defensive Midfield,Chelsea FC,Ecuador,23,€90.00m  ,12.5 %,+€10.00m
91,Pau Cubarsí,Centre-Back,FC Barcelona,Spain,18,€80.00m  ,14.3 %,+€10.00m
92,Cody Gakpo,Left Winger,Liverpool FC,Netherlands,26,€70.00m  ,16.7 %,+€10.00m
93,Ibrahima Konaté,Centre-Back,Liverpool FC,France,26,€60.00m  ,20.0 %,+€10.00m
94,Tijjani Reijnders,Central Midfield,Manchester City,Netherlands,26,€60.00m  ,20.0 %,+€10.00m
95,Matheus Cunha,Second Striker,Manchester United,Brazil,26,€60.00m  ,20.0 %,+€10.00m
96,Oihan Sancet,Attacking Midfield,Athletic Bilbao,Spain,25,€60.00m  ,20.0 %,+€10.00m
97,Alejandro Balde,Left-Back,FC Barcelona,Spain,21,€60.00m  ,20.0 %,+€10.00m
98,Estêvão,Right Winger,Sociedade Esportiva Palmeiras,Brazil,18,€60.00m  ,20.0 %,+€10.00m
99,Jurrien Timber,Right-Back,Arsenal FC,Netherlands,24,€55.00m  ,22.2 %,+€10.00m
